PDB,Linreg,diff pdb em,group
4chv,BEFORE,-95265.06,a
5g5p,BEFORE,-45954.04,a
5fwk,BEFORE,-71977.78,a
6e9e,BEFORE,-38519.93,a
5fkw,BEFORE,-70940.54,a
5fku,BEFORE,-54154.81,a
6mgw,BEFORE,-14228.92,a
6iy3,BEFORE,69167.56,a
5uz7,BEFORE,-31182.99,a
6niy,BEFORE,246787.52,a
5mz6,BEFORE,-62940.91,a
3jby,BEFORE,-81228.65,a
6cmx,BEFORE,247621.82,a
5g4f,BEFORE,-145197.78,b
6gsa,BEFORE,-202967.09,b
5uk2,BEFORE,-114850.78,b
5z3t,BEFORE,-126005.4,b
5gaq,BEFORE,-90495.16,b
6bo5,BEFORE,-124291.71,b
3j98,BEFORE,-261369.72,b
6f6w,BEFORE,-218890.88,b
6ces,BEFORE,-12900.85,b
2ykr,BEFORE,144412.94,b
5fkx,BEFORE,190196.42,b
6c6t,BEFORE,-102292.59,b
6c6s,BEFORE,-58847.22,b
3izk,BEFORE,-130387.81,b
3izj,BEFORE,-208139.43,b
3izm,BEFORE,-303999.94,b
6hz6,BEFORE,-125451.28,c
6hz8,BEFORE,-112261.53,c
3g37,BEFORE,-60182.32,c
2vdc,BEFORE,167844.75,c
4uer,BEFORE,28514,c
5lms,BEFORE,-138746.5,c
5lmt,BEFORE,-159497.44,c
5lmv,BEFORE,-215584.74,c
5tji,BEFORE,-181875.12,d
5jm0,BEFORE,-62221.5,d
3j9c,BEFORE,-165976.23,d
5fl2,BEFORE,-1992.09,d
3j6c,BEFORE,101466.91,d
4chv,AFTER,-42122.86824,a
5g5p,AFTER,50681.63599,a
5fwk,AFTER,48728.26302,a
6e9e,AFTER,100882.2962,a
5fkw,AFTER,-34855.91835,a
5fku,AFTER,-44892.2401,a
6mgw,AFTER,119460.2735,a
6iy3,AFTER,187523.4474,a
5uz7,AFTER,92263.61415,a
6niy,AFTER,387580.4954,a
5mz6,AFTER,66681.11608,a
3jby,AFTER,38699.061,a
6cmx,AFTER,391818.0309,a
5g4f,AFTER,-126537.6756,b
6gsa,AFTER,-95836.01681,b
5uk2,AFTER,-23549.00149,b
5z3t,AFTER,-16458.42094,b
5gaq,AFTER,39399.27638,b
6bo5,AFTER,-4591.304666,b
3j98,AFTER,-288197.4533,b
6f6w,AFTER,-108704.9782,b
6ces,AFTER,92287.48066,b
2ykr,AFTER,82299.73834,b
5fkx,AFTER,226815.3748,b
6c6t,AFTER,7708.669655,b
6c6s,AFTER,45375.67053,b
3izk,AFTER,-103895.8084,b
3izj,AFTER,-230343.8468,b
3izm,AFTER,-336357.3934,b
6hz6,AFTER,-43907.49261,c
6hz8,AFTER,-31212.95306,c
3g37,AFTER,-20003.09122,c
2vdc,AFTER,49466.82319,c
4uer,AFTER,-42720.51994,c
5lms,AFTER,-112959.7472,c
5lmt,AFTER,-109821.2363,c
5lmv,AFTER,-188132.0465,c
5tji,AFTER,-86362.93795,d
5jm0,AFTER,-22256.71064,d
3j9c,AFTER,-42072.08453,d
5fl2,AFTER,15693.18976,d
3j6c,AFTER,82081.7483,d
