PDB,EMDB,PDBVOL,EMVOL,LINREG,group
5fl2,emd_3206,723745.9,713302.5,BEFORE,a
5sv9,emd_8313,95107.05,47365.07,BEFORE,a
6e9f,emd_9014,134677.86,73090.89,BEFORE,a
3j0e,emd_1918,179605.11,142153.67,BEFORE,a
6jm9,emd_9843,220634.11,166035.72,BEFORE,a
6eoj,emd_3908,224486.89,132800.17,BEFORE,a
5a22,emd_6337,266642.81,178838.3,BEFORE,a
5uk2,emd_8564,327426.62,192904.62,BEFORE,a
3j6c,emd_5890,151698,439941.5,BEFORE,a
6ifk,emd_9653,352375.31,248171.45,BEFORE,a
5z3u,emd_6882,308778.19,168832.62,BEFORE,a
5g2x,emd_3331,382700.78,234986.23,BEFORE,a
6b40,emd_7046,295013.91,169089.88,BEFORE,a
6mlm,emd_9139,287914.28,146467.28,BEFORE,a
3jbx,emd_6487,280726.62,181314.34,BEFORE,a
5g5p,emd_3440,111589.69,61815.28,BEFORE,a
6f6w,emd_4192,378525.88,290427.06,BEFORE,a
6ces,emd_7464,386018.69,363448.81,BEFORE,a
3jd6,emd_6425,258291.52,279658.88,BEFORE,a
6bbj,emd_7075,376220.19,247982.73,BEFORE,a
6c6t,emd_7350,471340,426371.53,BEFORE,a
6f3k,emd_4179,456546.24,423535,BEFORE,a
5lmx,emd_4088,584667.25,417620.91,BEFORE,b
3g37,emd_1674,645845.88,565363.31,BEFORE,b
6hz7,emd_0313,603106.25,428758.34,BEFORE,b
5tj6,emd_8410,545014.68,411549.66,BEFORE,b
6mdn,emd_9101,688966.81,499773.56,BEFORE,b
3jc7,emd_6536,778369.31,482698.09,BEFORE,b
5u8t,emd_8519,751553.44,585895.62,BEFORE,b
2ykr,emd_1884,755166.38,917056.88,BEFORE,b
4aau,emd_2001,919642.25,765276.94,BEFORE,b
3izk,emd_5247,1129322.38,947208.12,BEFORE,b
5lmq,emd_4076,1028592.38,834811,BEFORE,b
5lmt,emd_4079,1007903.44,817917.75,BEFORE,b
3ixw,emd_5101,1203969.75,2163573,BEFORE,b
3izj,emd_5246,1130116.5,935232.69,BEFORE,b
3izm,emd_5249,1168614.88,825253.94,BEFORE,b
5khr,emd_4025,1112809.75,1058444.38,BEFORE,c
4ci0,emd_2513,1332093.6,1084044.38,BEFORE,c
2vdc,emd_1440,1630246,1595005.62,BEFORE,c
4uer,emd_2845,1838427.12,1942010.25,BEFORE,c
5fl2,emd_3206,612178.3506,713302.5,AFTER,a
5sv9,emd_8313,35984.90365,47365.07,AFTER,a
6e9f,emd_9014,72254.44285,73090.89,AFTER,a
3j0e,emd_1918,113433.5508,142153.67,AFTER,a
6jm9,emd_9843,151039.6277,166035.72,AFTER,a
6eoj,emd_3908,154570.9821,132800.17,AFTER,a
5a22,emd_6337,193209.9635,178838.3,AFTER,a
5uk2,emd_8564,248922.7675,192904.62,AFTER,a
3j6c,emd_5890,87854.64499,439941.5,AFTER,a
6ifk,emd_9653,271790.0651,248171.45,AFTER,a
5z3u,emd_6882,231830.1185,168832.62,AFTER,a
5g2x,emd_3331,299585.5745,234986.23,AFTER,a
6b40,emd_7046,219214.15,169089.88,AFTER,a
6mlm,emd_9139,212706.8203,146467.28,AFTER,a
3jbx,emd_6487,206118.8046,181314.34,AFTER,a
5g5p,emd_3440,51092.44776,61815.28,AFTER,a
6f6w,emd_4192,295758.9736,290427.06,AFTER,a
6ces,emd_7464,302626.6815,363448.81,AFTER,a
3jd6,emd_6425,185555.3959,279658.88,AFTER,a
6bbj,emd_7075,293645.6402,247982.73,AFTER,a
6c6t,emd_7350,380829.8974,426371.53,AFTER,a
6f3k,emd_4179,367270.3353,423535,AFTER,a
5lmx,emd_4088,484702.604,417620.91,AFTER,b
3g37,emd_1674,540777.2893,565363.31,AFTER,b
6hz7,emd_0313,501603.295,428758.34,AFTER,b
5tj6,emd_8410,448358.1258,411549.66,AFTER,b
6mdn,emd_9101,580300.773,499773.56,AFTER,b
3jc7,emd_6536,662244.6977,482698.09,AFTER,b
5u8t,emd_8519,637665.9932,585895.62,AFTER,b
2ykr,emd_1884,640977.5167,917056.88,AFTER,b
4aau,emd_2001,791731.6715,765276.94,AFTER,b
3izk,emd_5247,983918.8341,947208.12,AFTER,b
5lmq,emd_4076,891592.4277,834811,AFTER,b
5lmt,emd_4079,872629.5022,817917.75,AFTER,b
3ixw,emd_5101,1052338.604,2163573,AFTER,b
3izj,emd_5246,984646.7031,935232.69,AFTER,b
3izm,emd_5249,1019933.282,825253.94,AFTER,b
5khr,emd_4025,968783.8019,1058444.38,AFTER,c
4ci0,emd_2513,1169773.476,1084044.38,AFTER,c
2vdc,emd_1440,1443051.939,1595005.62,AFTER,c
4uer,emd_2845,1633865.15,1942010.25,AFTER,c
