PDB,Linreg,diff pdb em,group
5fl2,BEFORE,-74615.02,a
5sv9,BEFORE,-47145.18,a
6e9f,BEFORE,-67887.75,a
3j0e,BEFORE,-34856.03,a
6jm9,BEFORE,-52351.61,a
6eoj,BEFORE,-97600.91,a
5a22,BEFORE,-104218.61,a
5uk2,BEFORE,-148075.02,a
3j6c,BEFORE,307190.5,a
6ifk,BEFORE,-113452.64,a
5z3u,BEFORE,-136126.3,a
5g2x,BEFORE,-143262.31,b
6b40,BEFORE,-133873.67,b
6mlm,BEFORE,-144904.38,b
3jbx,BEFORE,-105458.6,b
5g5p,BEFORE,-49206.93,b
6f6w,BEFORE,-99717.6,b
6ces,BEFORE,-29135.16,b
3jd6,BEFORE,31186.61,b
6bbj,BEFORE,-146693.08,b
6c6t,BEFORE,-44867.28,b
6f3k,BEFORE,-18304.52,b
5lmx,BEFORE,-208299.43,b
3g37,BEFORE,-84154.12,b
6hz7,BEFORE,-224283.87,b
5tj6,BEFORE,-163912.36,b
6mdn,BEFORE,-216685.35,c
3jc7,BEFORE,-333586.85,c
5u8t,BEFORE,-195333.18,c
2ykr,BEFORE,182465.44,c
4aau,BEFORE,-193611.81,c
3izk,BEFORE,-217344.06,c
5lmq,BEFORE,-211543.82,c
5lmt,BEFORE,-225081.63,c
3ixw,BEFORE,791646.76,c
3izj,BEFORE,-275722.88,c
3izm,BEFORE,-419823.63,c
5khr,BEFORE,-61082.88,d
4ci0,BEFORE,-208171.36,d
2vdc,BEFORE,-142411.5,d
4uer,BEFORE,180668.88,d
5fl2,AFTER,51701.27188,a
5sv9,AFTER,27225.991,a
6e9f,AFTER,9797.930592,a
3j0e,AFTER,46850.70118,a
6jm9,AFTER,32554.22116,a
6eoj,AFTER,-12145.17442,a
5a22,AFTER,-14777.33889,a
5uk2,AFTER,-53678.64639,a
3j6c,AFTER,385819.7637,a
6ifk,AFTER,-17069.77845,a
5z3u,AFTER,-44390.35398,a
5g2x,AFTER,-45413.42298,b
6b40,AFTER,-43050.93815,b
6mlm,AFTER,-53849.39345,b
3jbx,AFTER,-15581.47395,b
5g5p,AFTER,26612.47598,b
6f6w,AFTER,-845.895237,b
6ces,AFTER,69892.02663,b
3jd6,AFTER,116739.9407,b
6bbj,AFTER,-48838.22772,b
6c6t,AFTER,61612.32046,b
6f3k,AFTER,84739.80373,b
5lmx,AFTER,-91903.49921,b
3g37,AFTER,37460.34072,b
6hz7,AFTER,-106092.6434,b
5tj6,AFTER,-51493.6002,b
6mdn,AFTER,-90925.22653,c
3jc7,AFTER,-200985.4644,c
5u8t,AFTER,-64987.3891,c
2ykr,AFTER,311744.1946,c
4aau,AFTER,-47028.41744,c
3izk,AFTER,-54655.0778,c
5lmq,AFTER,-59100.32038,c
5lmt,AFTER,-73466.72589,c
3ixw,AFTER,960512.0276,c
3izj,AFTER,-112338.1865,c
3izm,AFTER,-253461.1973,c
5khr,AFTER,98461.9307,d
4ci0,AFTER,-29903.29121,d
2vdc,AFTER,63458.72292,d
4uer,AFTER,400482.0887,d
