PDB,EMDB,PDBVOL,EMVOL,LINREG,group
5fl2,emd_3206,846101.4,844109.31,BEFORE,a
5sv9,emd_8313,108320.57,66460.27,BEFORE,a
6e9f,emd_9014,139004.97,91652.14,BEFORE,a
3j0e,emd_1918,184868.44,139434.72,BEFORE,a
6jm9,emd_9843,232016.16,174528.48,BEFORE,a
6eoj,emd_3908,222697.84,143346.11,BEFORE,a
5a22,emd_6337,260964.78,196943.62,BEFORE,a
5uk2,emd_8564,323345.09,212575.84,BEFORE,a
3j6c,emd_5890,183210.48,422085.25,BEFORE,a
6ifk,emd_9653,352823.09,258062.11,BEFORE,a
5z3u,emd_6882,322796.03,187594.48,BEFORE,a
5g2x,emd_3331,399771.62,250602.64,BEFORE,b
6b40,emd_7046,302981.09,212571.28,BEFORE,b
6mlm,emd_9139,284814.5,158719.25,BEFORE,b
3jbx,emd_6487,282200.47,203632.8,BEFORE,b
5g5p,emd_3440,114287.91,68333.87,BEFORE,b
6f6w,emd_4192,372105.44,295202.16,BEFORE,b
6ces,emd_7464,387644.25,369047.41,BEFORE,b
3jd6,emd_6425,298638.72,339444.81,BEFORE,b
6bbj,emd_7075,383365.94,296953.38,BEFORE,b
6c6t,emd_7350,466221.06,426902.16,BEFORE,b
6f3k,emd_4179,467402.4,416757.94,BEFORE,b
5lmx,emd_4088,583210.62,480360.09,BEFORE,b
3g37,emd_1674,621129.44,560947.12,BEFORE,b
6hz7,emd_0313,586424.56,470843.41,BEFORE,b
5tj6,emd_8410,552150,440135.06,BEFORE,b
6mdn,emd_9101,665446.31,516130.06,BEFORE,c
3jc7,emd_6536,792739.75,546835.25,BEFORE,c
5u8t,emd_8519,746154.62,635497.25,BEFORE,c
2ykr,emd_1884,800474.81,944887.75,BEFORE,c
4aau,emd_2001,923676.44,786875.81,BEFORE,c
3izk,emd_5247,1114631.75,984243.94,BEFORE,c
5lmq,emd_4076,1054559.62,899997.31,BEFORE,c
5lmt,emd_4079,1041508.44,882011,BEFORE,c
3ixw,emd_5101,1184237,2310098,BEFORE,c
3izj,emd_5246,1144255.12,936115.69,BEFORE,c
3izm,emd_5249,1184581.5,880581.56,BEFORE,c
5khr,emd_4025,1146289.88,1096913.12,BEFORE,d
4ci0,emd_2513,1365037.08,1064768,BEFORE,d
2vdc,emd_1440,1596798.75,1764643.5,BEFORE,d
4uer,emd_2845,1887392.75,1915906.75,BEFORE,d
5fl2,emd_3206,753269.4609,844109.31,AFTER,a
5sv9,emd_8313,54443.79069,66460.27,AFTER,a
6e9f,emd_9014,83508.04057,91652.14,AFTER,a
3j0e,emd_1918,126949.8987,139434.72,AFTER,a
6jm9,emd_9843,171608.1979,174528.48,AFTER,a
6eoj,emd_3908,162781.8894,143346.11,AFTER,a
5a22,emd_6337,199028.3177,196943.62,AFTER,a
5uk2,emd_8564,258114.9193,212575.84,AFTER,a
3j6c,emd_5890,125379.4797,422085.25,AFTER,a
6ifk,emd_9653,286036.4676,258062.11,AFTER,a
5z3u,emd_6882,257594.8499,187594.48,AFTER,a
5g2x,emd_3331,330506.0941,250602.64,AFTER,b
6b40,emd_7046,238826.1476,212571.28,AFTER,b
6mlm,emd_9139,221618.7618,158719.25,AFTER,b
3jbx,emd_6487,219142.7537,203632.8,AFTER,b
5g5p,emd_3440,60096.05246,68333.87,AFTER,b
6f6w,emd_4192,304300.7009,295202.16,AFTER,b
6ces,emd_7464,319019.0547,369047.41,AFTER,b
3jd6,emd_6425,234713.0567,339444.81,AFTER,b
6bbj,emd_7075,314966.6414,296953.38,AFTER,b
6c6t,emd_7350,393446.9738,426902.16,AFTER,b
6f3k,emd_4179,394565.9385,416757.94,AFTER,b
5lmx,emd_4088,504259.4324,480360.09,AFTER,b
3g37,emd_1674,540176.1216,560947.12,AFTER,b
6hz7,emd_0313,507303.6749,470843.41,AFTER,b
5tj6,emd_8410,474838.8271,440135.06,AFTER,b
6mdn,emd_9101,582153.0409,516130.06,AFTER,c
3jc7,emd_6536,702725.33,546835.25,AFTER,c
5u8t,emd_8519,658599.9158,635497.25,AFTER,c
2ykr,emd_1884,710051.9754,944887.75,AFTER,c
4aau,emd_2001,826748.5038,786875.81,AFTER,c
3izk,emd_5247,1007621.288,984243.94,AFTER,c
5lmq,emd_4076,950720.993,899997.31,AFTER,c
5lmt,emd_4079,938358.9212,882011,AFTER,c
3ixw,emd_5101,1073551.349,2310098,AFTER,c
3izj,emd_5246,1035680.53,936115.69,AFTER,c
3izm,emd_5249,1073877.659,880581.56,AFTER,c
5khr,emd_4025,1037607.854,1096913.12,AFTER,d
4ci0,emd_2513,1244805.103,1064768,AFTER,d
2vdc,emd_1440,1464329.653,1764643.5,AFTER,d
4uer,emd_2845,1739580.159,1915906.75,AFTER,d
