PDB,Linreg,diff pdb em,group
5fl2,BEFORE,-1992.09,a
5sv9,BEFORE,-41860.3,a
6e9f,BEFORE,-47352.83,a
3j0e,BEFORE,-45433.72,a
6jm9,BEFORE,-57487.68,a
6eoj,BEFORE,-79351.73,a
5a22,BEFORE,-64021.16,a
5uk2,BEFORE,-110769.25,a
3j6c,BEFORE,238874.77,a
6ifk,BEFORE,-94760.98,a
5z3u,BEFORE,-135201.55,a
5g2x,BEFORE,-149168.98,b
6b40,BEFORE,-90409.81,b
6mlm,BEFORE,-126095.25,b
3jbx,BEFORE,-78567.67,b
5g5p,BEFORE,-45954.04,b
6f6w,BEFORE,-76903.28,b
6ces,BEFORE,-18596.84,b
3jd6,BEFORE,40806.09,b
6bbj,BEFORE,-86412.56,b
6c6t,BEFORE,-39318.9,b
6f3k,BEFORE,-50644.46,b
5lmx,BEFORE,-102850.53,b
3g37,BEFORE,-60182.32,b
6hz7,BEFORE,-115581.15,b
5tj6,BEFORE,-112014.94,b
6mdn,BEFORE,-149316.25,c
3jc7,BEFORE,-245904.5,c
5u8t,BEFORE,-110657.37,c
2ykr,BEFORE,144412.94,c
4aau,BEFORE,-136800.63,c
3izk,BEFORE,-130387.81,c
5lmq,BEFORE,-154562.31,c
5lmt,BEFORE,-159497.44,c
3ixw,BEFORE,1125861,c
3izj,BEFORE,-208139.43,c
3izm,BEFORE,-303999.94,c
5khr,BEFORE,-49376.76,d
4ci0,BEFORE,-300269.08,d
2vdc,BEFORE,167844.75,d
4uer,BEFORE,28514,d
5fl2,AFTER,90839.84913,a
5sv9,AFTER,12016.47931,a
6e9f,AFTER,8144.099435,a
3j0e,AFTER,12484.82129,a
6jm9,AFTER,2920.282122,a
6eoj,AFTER,-19435.77937,a
5a22,AFTER,-2084.697716,a
5uk2,AFTER,-45539.07928,a
3j6c,AFTER,296705.7703,a
6ifk,AFTER,-27974.35761,a
5z3u,AFTER,-70000.36989,a
5g2x,AFTER,-79903.4541,b
6b40,AFTER,-26254.86764,b
6mlm,AFTER,-62899.51177,b
3jbx,AFTER,-15509.95373,b
5g5p,AFTER,8237.817544,b
6f6w,AFTER,-9098.540854,b
6ces,AFTER,50028.35531,b
3jd6,AFTER,104731.7533,b
6bbj,AFTER,-18013.26139,b
6c6t,AFTER,33455.18623,b
6f3k,AFTER,22192.00152,b
5lmx,AFTER,-23899.34235,b
3g37,AFTER,20770.99841,b
6hz7,AFTER,-36460.26487,b
5tj6,AFTER,-34703.76707,b
6mdn,AFTER,-66022.98091,c
3jc7,AFTER,-155890.08,c
5u8t,AFTER,-23102.66583,c
2ykr,AFTER,234835.7746,c
4aau,AFTER,-39872.69385,c
3izk,AFTER,-23377.34755,c
5lmq,AFTER,-50723.68305,c
5lmt,AFTER,-56347.92122,c
3ixw,AFTER,1236546.651,c
3izj,AFTER,-99564.84028,c
3izm,AFTER,-193296.0993,c
5khr,AFTER,59305.26596,d
4ci0,AFTER,-180037.1034,d
2vdc,AFTER,300313.847,d
4uer,AFTER,176326.591,d
